question,answer
What is a Markov Decision Process?,"A Markov Decision Process is a mathematical framework for modeling decision-making in environments with states, actions, and rewards."
What is deep reinforcement learning?,"Deep reinforcement learning combines deep neural networks with reinforcement learning to handle complex, high-dimensional environments."
What is generative AI?,"Generative AI refers to models that can create new content such as text, images, audio, or code based on learned patterns."
What is a diffusion model?,"A diffusion model generates data by gradually denoising random noise into a coherent output, used in image generation."
What is prompt engineering?,Prompt engineering is the practice of designing effective inputs to guide AI models toward desired outputs.
What is few-shot learning?,Few-shot learning enables models to learn new tasks from a very small number of labeled examples.
What is zero-shot learning?,Zero-shot learning allows models to perform tasks without having seen any labeled examples for that specific task.
What is fine-tuning?,Fine-tuning adapts a pre-trained model to a specific dataset or task.
What is transfer learning?,Transfer learning reuses knowledge from one task to improve performance on another related task.
What is a foundation model?,A foundation model is a large pre-trained model trained on broad data that can be adapted to many downstream tasks.
What is a large language model (LLM)?,A large language model is a deep learning model trained on massive text data to understand and generate human language.
What is retrieval-augmented generation (RAG)?,RAG combines a language model with an external knowledge retrieval system to produce more accurate and grounded responses.
What is hallucination in AI models?,Hallucination occurs when an AI model generates plausible-sounding but factually incorrect or fabricated information.
What is an embedding in AI?,"An embedding is a numerical vector representation of data, such as text or images, that captures semantic meaning."
What is vector database?,"A vector database stores and retrieves data based on embedding similarity, commonly used in semantic search and RAG systems."
What is cosine similarity?,"Cosine similarity measures the angle between two vectors to determine how similar their directions are, regardless of magnitude."
What is a multimodal model?,"A multimodal model processes and integrates multiple types of data, such as text, images, and audio, simultaneously."
What is an AI agent?,"An AI agent autonomously perceives its environment and takes actions to achieve specific goals, often using LLMs and tools."
What is in-context learning?,"In-context learning allows a model to adapt its behavior based on examples provided within the input prompt, without retraining."
What is model distillation?,"Model distillation trains a smaller model to replicate the behavior of a larger, more complex model, reducing computational cost."
What is quantization in deep learning?,Quantization reduces the precision of model weights to decrease memory usage and speed up inference.
What is pruning in deep learning?,Pruning removes unnecessary weights or neurons from a neural network to reduce size and improve efficiency.
What is model compression?,"Model compression reduces the size of a model while preserving as much performance as possible, useful for deployment."
What is edge AI?,Edge AI refers to running AI models directly on local devices rather than relying on cloud computing.
What is federated learning?,Federated learning trains models across multiple decentralized devices while keeping data local for privacy.
What is synthetic data?,Synthetic data is artificially generated data used to train models when real data is limited or sensitive.
What is anomaly detection?,"Anomaly detection identifies data points that deviate significantly from expected patterns, often used for fraud detection."
What is time series forecasting?,Time series forecasting predicts future values based on previously observed data points over time.
What is ARIMA?,ARIMA (AutoRegressive Integrated Moving Average) is a statistical model used for analyzing and forecasting time series data.
What is seasonality in time series?,Seasonality refers to repeating patterns or cycles in time series data at regular intervals.
What is stationarity in time series?,"Stationarity means a time series has statistical properties, like mean and variance, that remain constant over time."
What is AI in healthcare?,"AI automates claim processing, denial prediction, fraud detection, and patient chatbots in healthcare BPO."
What is AI in finance?,"AI is used for fraud detection, algorithmic trading, and customer support automation in banking and finance."
What is AI in retail?,"AI powers recommendation systems, demand forecasting, and customer chatbots in retail."
What is AI in manufacturing?,"AI enables predictive maintenance, quality control, and supply chain optimization in manufacturing."
What is AI in education?,"AI provides personalized learning, automated grading, and intelligent tutoring systems."
What is AI in agriculture?,"AI assists in crop monitoring, yield prediction, and precision farming using satellite and sensor data."
What is AI in transportation?,"AI enables route optimization, autonomous vehicles, and predictive maintenance in transportation systems."
What is AI in cybersecurity?,"AI detects threats, identifies anomalies, and automates responses to security incidents in real time."
What is AI in marketing?,"AI personalizes recommendations, optimizes ad targeting, and analyzes customer behavior in marketing."
What is AI in human resources?,"AI assists in resume screening, candidate matching, and employee sentiment analysis in HR."
What is a recommendation system?,A recommendation system suggests relevant items to users based on their preferences and behavior patterns.
What is collaborative filtering?,Collaborative filtering recommends items based on similarities between users or items derived from past interactions.
What is content-based filtering?,"Content-based filtering recommends items similar to those a user has previously liked, based on item attributes."
What is a hybrid recommendation system?,A hybrid recommendation system combines collaborative and content-based filtering to improve recommendation accuracy.
What is fraud detection in AI?,Fraud detection uses machine learning models to identify suspicious or anomalous transactions in real time.
What is predictive maintenance?,"Predictive maintenance uses AI to forecast equipment failures before they occur, reducing downtime and costs."
What is demand forecasting?,Demand forecasting predicts future customer demand using historical data and machine learning models.
What is churn prediction?,"Churn prediction identifies customers likely to stop using a product or service, enabling proactive retention strategies."
What is AI ethics?,"AI ethics involves fairness, transparency, accountability, and avoiding bias in AI systems."
What is bias in AI?,Bias in AI occurs when a model produces systematically unfair outcomes due to skewed training data or flawed assumptions.
What is algorithmic fairness?,Algorithmic fairness ensures AI systems make decisions without discriminating against particular groups.
What is explainable AI?,Explainable AI provides human-understandable insights into how models make decisions.
What is interpretability in ML?,Interpretability refers to the degree to which a human can understand the reasoning behind a model's predictions.
What is SHAP?,SHAP (SHapley Additive exPlanations) is a method that explains individual predictions by attributing contributions to each feature.
What is LIME?,LIME (Local Interpretable Model-agnostic Explanations) approximates complex models locally with simpler interpretable models to explain predictions.
What is data privacy in AI?,Data privacy in AI involves protecting sensitive personal information used in training and deploying machine learning models.
What is differential privacy?,Differential privacy adds statistical noise to data or queries to protect individual privacy while preserving overall patterns.
What is responsible AI?,"Responsible AI refers to developing and deploying AI systems that are ethical, transparent, safe, and accountable."
What is AI governance?,AI governance establishes policies and frameworks to ensure AI systems are developed and used responsibly.
What is model drift?,Model drift occurs when a model's performance degrades over time due to changes in underlying data patterns.
What is data drift?,"Data drift refers to changes in the statistical properties of input data over time, affecting model performance."
What is concept drift?,Concept drift occurs when the relationship between input features and the target variable changes over time.
What is MLOps?,"MLOps is a set of practices that combines machine learning, DevOps, and data engineering to deploy and maintain ML models reliably."
What is model deployment?,Model deployment is the process of integrating a trained machine learning model into a production environment for real-world use.
What is a REST API in ML deployment?,A REST API allows applications to send requests to a deployed model and receive predictions over HTTP.
What is model versioning?,Model versioning tracks different versions of a machine learning model to manage updates and rollbacks.
What is containerization in ML?,"Containerization packages a model and its dependencies into a portable unit, such as Docker, for consistent deployment."
What is Docker?,Docker is a platform that packages applications and their dependencies into containers for consistent deployment across environments.
What is Kubernetes?,"Kubernetes is an orchestration platform that automates the deployment, scaling, and management of containerized applications."
What is CI/CD in machine learning?,"CI/CD in ML automates the testing, integration, and deployment of machine learning models and pipelines."
What is model monitoring?,Model monitoring tracks a deployed model's performance and behavior over time to detect issues like drift or degradation.
What is A/B testing in ML?,A/B testing compares two versions of a model or feature to determine which performs better in real-world conditions.
What is a feature store?,"A feature store is a centralized repository for storing, managing, and serving features used in machine learning models."
What is a data pipeline?,A data pipeline automates the flow of data from collection through processing to model training or analysis.
What is ETL in data engineering?,"ETL (Extract, Transform, Load) is a process for collecting data from sources, transforming it, and loading it into a target system."
What is big data?,"Big data refers to extremely large and complex datasets that require specialized tools and techniques for storage, processing, and analysis."
What is Hadoop?,Hadoop is an open-source framework for distributed storage and processing of large datasets across clusters of computers.
What is Apache Spark?,"Apache Spark is a fast, distributed computing framework used for large-scale data processing and machine learning."
What is cloud computing in AI?,Cloud computing provides scalable infrastructure and services for storing data and training or deploying AI models remotely.
What is GPU vs CPU for AI workloads?,"GPUs handle parallel computations efficiently, making them faster than CPUs for training deep learning models with large matrix operations."
What is AutoML?,"AutoML automates the process of selecting, training, and tuning machine learning models with minimal human intervention."
What is data science?,"Data science combines statistics, programming, and domain knowledge to extract insights and value from data."
What is the data science lifecycle?,"The data science lifecycle includes problem definition, data collection, cleaning, exploration, modeling, evaluation, and deployment."
What is exploratory data analysis (EDA)?,EDA involves analyzing and visualizing datasets to summarize their main characteristics before modeling.
What is a data warehouse?,A data warehouse is a centralized repository that stores structured data from multiple sources for reporting and analysis.
What is a data lake?,"A data lake stores large volumes of raw, unstructured, and structured data in its native format for later processing."
What is the difference between a data lake and a data warehouse?,"A data lake stores raw, unstructured data, while a data warehouse stores structured, processed data optimized for querying."
What is SQL?,"SQL (Structured Query Language) is a language used to query, manipulate, and manage relational databases."
What is a JOIN in SQL?,A JOIN combines rows from two or more tables based on a related column between them.
What is the difference between INNER JOIN and OUTER JOIN?,"INNER JOIN returns only matching rows between tables, while OUTER JOIN returns matching rows plus unmatched rows from one or both tables."
What is a primary key?,A primary key is a unique identifier for each record in a database table.
What is a foreign key?,A foreign key is a column that creates a relationship between two tables by referencing the primary key of another table.
What is normalization in databases?,Normalization organizes database tables to reduce redundancy and improve data integrity.
What is indexing in databases?,Indexing creates a data structure that improves the speed of data retrieval operations in a database.
What is a GROUP BY clause in SQL?,"GROUP BY aggregates rows that share the same values in specified columns, often used with aggregate functions."
What is a subquery in SQL?,"A subquery is a query nested inside another query, used to perform intermediate operations."
What is a NoSQL database?,"A NoSQL database stores data in non-relational formats like documents, key-value pairs, or graphs, suited for unstructured data."
What is the difference between SQL and NoSQL databases?,"SQL databases use structured, relational tables with fixed schemas, while NoSQL databases offer flexible schemas for unstructured or semi-structured data."
What is data visualization?,"Data visualization represents data graphically to help identify patterns, trends, and insights easily."
What is a dashboard in data analytics?,A dashboard is a visual interface that displays key metrics and data insights in real time for monitoring and decision-making.
What is A/B testing in data science?,A/B testing compares two groups to determine which variation produces better results based on a defined metric.
What is survivorship bias?,"Survivorship bias occurs when analysis focuses only on surviving or successful cases, ignoring failures, leading to skewed conclusions."
What is selection bias?,Selection bias occurs when the sample used in analysis is not representative of the population due to non-random selection.
What is causal inference?,"Causal inference determines whether and how one variable causes a change in another, beyond mere correlation."
What is an A/A test?,An A/A test compares two identical versions of a system to validate the testing methodology before running an A/B test.
What is multivariate testing?,Multivariate testing evaluates multiple variables simultaneously to determine which combination produces the best outcome.
What is the difference between batch processing and real-time processing?,"Batch processing handles data in large groups at scheduled intervals, while real-time processing analyzes data immediately as it arrives."
What is a Kaggle competition?,A Kaggle competition is a data science challenge where participants build models to solve a problem and compete for accuracy and ranking.
What skills are needed for a data scientist?,"Data scientists typically need skills in statistics, programming, machine learning, data visualization, and domain knowledge."
What is the difference between a data analyst and a data scientist?,"Data analysts focus on interpreting existing data for insights, while data scientists build predictive models and work with more complex algorithms."
"What is the difference between AI, ML, and Deep Learning?","AI is the broad goal of creating intelligent systems, ML is a subset using data-driven learning, and deep learning is a further subset using neural networks."
What is model interpretability vs accuracy tradeoff?,"Simpler models are often more interpretable but less accurate, while complex models tend to be more accurate but harder to interpret."
What is the difference between parametric and non-parametric models?,"Parametric models assume a fixed form with a limited number of parameters, while non-parametric models adapt their complexity based on data."
What is a generative model vs a discriminative model?,"Generative models learn the joint probability distribution of data and labels, while discriminative models learn the boundary between classes directly."
What is online learning in machine learning?,"Online learning updates a model incrementally as new data arrives, rather than retraining on the full dataset each time."
What is batch learning?,"Batch learning trains a model on the entire available dataset at once, requiring retraining for new data."
What is active learning?,Active learning allows a model to query a user or oracle for labels on the most informative data points to improve efficiently.
What is multi-task learning?,"Multi-task learning trains a single model to perform multiple related tasks simultaneously, sharing learned representations."
What is curriculum learning?,"Curriculum learning trains models by gradually increasing the difficulty of training examples, similar to human learning."
What is meta-learning?,"Meta-learning, or ""learning to learn,"" trains models to quickly adapt to new tasks with minimal additional data."
What is one-shot learning?,One-shot learning enables a model to recognize new classes from only a single labeled example.
What is catastrophic forgetting?,Catastrophic forgetting occurs when a neural network loses previously learned information after learning new tasks.
What is continual learning?,Continual learning enables models to learn new tasks sequentially without forgetting previously learned knowledge.
What is the no free lunch theorem in ML?,The no free lunch theorem states that no single algorithm performs best across all possible problems.
What is Occam's razor in machine learning?,"Occam's razor suggests that, among models with similar performance, the simplest one should be preferred."
What is model ensembling vs single model approach?,"Ensembling combines multiple models for better performance and robustness, while a single model approach relies on one algorithm."
What is the difference between batch gradient descent and stochastic gradient descent?,"Batch gradient descent uses the entire dataset per update, while stochastic gradient descent uses one sample, making it faster but noisier."
What is a hyperparameter vs a parameter?,"Parameters are learned by the model during training, while hyperparameters are set before training to control the learning process."
What is the difference between classification and regression?,"Classification predicts discrete categories, while regression predicts continuous numerical values."
What is multi-class classification?,Multi-class classification assigns one label from more than two possible categories to each input.
What is multi-label classification?,Multi-label classification assigns multiple labels simultaneously to a single input.
What is the difference between bagging and boosting?,"Bagging trains models independently in parallel to reduce variance, while boosting trains models sequentially to reduce bias by correcting prior errors."
What is a dataset?,A dataset is a structured collection of data used for training and evaluating machine learning models.
What is structured data?,"Structured data is organized in a fixed format, such as rows and columns in a database or spreadsheet."
What is unstructured data?,"Unstructured data lacks a predefined format, such as text, images, audio, or video."
What is semi-structured data?,"Semi-structured data has some organizational properties but does not fit a strict relational schema, such as JSON or XML."
What is JSON?,"JSON (JavaScript Object Notation) is a lightweight data format used for storing and exchanging structured data, common in APIs."
What is an API?,An API (Application Programming Interface) allows different software systems to communicate and exchange data or functionality.
What is web scraping?,Web scraping extracts data from websites automatically for analysis or dataset creation.
What is data labeling?,"Data labeling assigns meaningful tags or categories to raw data, enabling supervised learning."
What is crowdsourced labeling?,"Crowdsourced labeling distributes data annotation tasks to a large group of people, often through platforms designed for this purpose."
What is active learning in data labeling?,Active learning in data labeling prioritizes labeling the most uncertain or informative samples to reduce annotation cost.
What is a benchmark dataset?,A benchmark dataset is a standardized dataset used to compare the performance of different machine learning models.
What is ImageNet?,ImageNet is a large-scale benchmark dataset of labeled images widely used for training and evaluating computer vision models.
What is MNIST?,MNIST is a benchmark dataset of handwritten digit images commonly used for testing image classification algorithms.
"What is the difference between training, validation, and test sets?","Training data fits the model, validation data tunes hyperparameters, and test data evaluates final model performance on unseen data."
What is data versioning?,"Data versioning tracks changes to datasets over time, ensuring reproducibility in machine learning experiments."
What is reproducibility in machine learning?,"Reproducibility refers to the ability to consistently obtain the same results using the same data, code, and model configuration."
What is a random seed?,A random seed initializes a pseudo-random number generator to ensure reproducible results across runs.
What is model explainability vs transparency?,"Explainability focuses on interpreting model decisions after the fact, while transparency relates to understanding the model's internal workings directly."
What is a black box model?,A black box model is one whose internal decision-making process is not easily interpretable by humans.
What is a white box model?,"A white box model has a transparent and easily interpretable decision-making process, such as linear regression or decision trees."
What is model robustness?,"Model robustness refers to a model's ability to maintain performance despite noisy, adversarial, or unexpected inputs."
What is adversarial attack in ML?,"An adversarial attack introduces small, intentional perturbations to input data to deceive a machine learning model."
What is adversarial training?,Adversarial training improves model robustness by including adversarial examples during the training process.
What is data poisoning?,Data poisoning is a security attack where malicious data is injected into a training set to corrupt model behavior.
What is model inversion attack?,A model inversion attack attempts to reconstruct sensitive training data by exploiting a model's outputs.
What is membership inference attack?,A membership inference attack determines whether a specific data point was part of a model's training dataset.
What is the difference between AI and automation?,"AI involves systems that learn and make decisions from data, while automation follows predefined rules to perform repetitive tasks."
What is symbolic AI?,"Symbolic AI uses explicit rules and logic-based representations to perform reasoning tasks, contrasting with data-driven ML approaches."
What is expert system in AI?,An expert system mimics human expert decision-making using a knowledge base and a set of inference rules.
What is fuzzy logic?,"Fuzzy logic handles reasoning that is approximate rather than precise, allowing degrees of truth instead of binary true or false."
What is genetic algorithm?,"A genetic algorithm is an optimization technique inspired by natural selection, using mutation, crossover, and selection to find solutions."
What is swarm intelligence?,"Swarm intelligence models collective behavior of decentralized systems, inspired by natural phenomena like ant colonies or bird flocks."
What is the Turing Test?,The Turing Test evaluates a machine's ability to exhibit intelligent behavior indistinguishable from a human.
What is Artificial General Intelligence (AGI)?,"AGI refers to a hypothetical AI system with human-level cognitive abilities across a wide range of tasks, unlike narrow AI."
What is narrow AI?,"Narrow AI refers to AI systems designed to perform specific tasks, lacking general reasoning capabilities beyond their domain."
What is the difference between AI and robotics?,"AI focuses on decision-making and learning algorithms, while robotics involves physical machines that may use AI to perceive and act in the world."
What is sensor fusion in robotics?,Sensor fusion combines data from multiple sensors to produce more accurate and reliable information than any single sensor alone.
What is SLAM in robotics?,SLAM (Simultaneous Localization and Mapping) allows a robot to build a map of an unknown environment while tracking its own location.
What is digital twin technology?,"A digital twin is a virtual replica of a physical system used to simulate, analyze, and optimize real-world performance."
What is edge computing?,"Edge computing processes data near its source rather than relying on centralized cloud servers, reducing latency."
What is IoT in AI applications?,"IoT (Internet of Things) connects physical devices that generate data, which AI systems can analyze for automation and insights."
What is a knowledge graph?,"A knowledge graph represents entities and their relationships as a network, enabling structured reasoning and search."
What is NLP?,"Natural Language Processing (NLP) is a field of AI focused on enabling computers to understand, interpret, and generate human language."
Difference between CNN and RNN.,"CNNs are specialized for processing spatial data like images, while RNNs are designed for sequential data like text or time series."
What is deep learning vs machine learning?,"Machine learning uses data-driven algorithms to learn from data, while deep learning is a subset of ML that specifically uses multi-layer neural networks to learn complex patterns."
What is Machine Learning?,"Machine learning uses data-driven algorithms to learn from data, make predictions, and discover hidden patterns without being explicitly programmed."
